user_id,proposal_id,status,event,favorited_at,scheduled_at
212,270,confirmed,2009,2009-06-04 10:42:47 -0700,2009-06-18 15:50:00 -0700
327,271,confirmed,2009,2009-06-04 10:43:36 -0700,2009-06-17 09:00:00 -0700
327,91,confirmed,2009,2009-06-04 10:43:43 -0700,2009-06-17 10:00:00 -0700
327,46,confirmed,2009,2009-06-04 10:43:53 -0700,2009-06-17 11:20:00 -0700
327,116,confirmed,2009,2009-06-04 10:44:00 -0700,2009-06-17 11:20:00 -0700
327,234,confirmed,2009,2009-06-04 10:44:09 -0700,2009-06-17 13:45:00 -0700
327,76,confirmed,2009,2009-06-04 10:44:14 -0700,2009-06-17 14:45:00 -0700
327,23,confirmed,2009,2009-06-04 10:44:20 -0700,2009-06-17 15:50:00 -0700
327,272,confirmed,2009,2009-06-04 10:44:26 -0700,2009-06-18 09:00:00 -0700
341,271,confirmed,2009,2009-06-04 10:44:27 -0700,2009-06-17 09:00:00 -0700
327,95,confirmed,2009,2009-06-04 10:44:32 -0700,2009-06-18 10:00:00 -0700
327,13,confirmed,2009,2009-06-04 10:44:38 -0700,2009-06-18 11:20:00 -0700
327,49,confirmed,2009,2009-06-04 10:44:49 -0700,2009-06-18 13:45:00 -0700
327,270,confirmed,2009,2009-06-04 10:44:56 -0700,2009-06-18 15:50:00 -0700
327,37,confirmed,2009,2009-06-04 10:45:01 -0700,2009-06-18 17:00:00 -0700
212,191,confirmed,2009,2009-06-04 10:45:07 -0700,2009-06-18 13:45:00 -0700
327,114,confirmed,2009,2009-06-04 10:45:09 -0700,2009-06-18 18:15:00 -0700
212,231,confirmed,2009,2009-06-04 10:47:17 -0700,2009-06-18 10:00:00 -0700
212,19,confirmed,2009,2009-06-04 10:50:45 -0700,2009-06-17 11:20:00 -0700
341,109,confirmed,2009,2009-06-04 10:50:46 -0700,2009-06-17 10:00:00 -0700
212,271,confirmed,2009,2009-06-04 10:51:02 -0700,2009-06-17 09:00:00 -0700
277,119,confirmed,2009,2009-06-04 10:54:30 -0700,2009-06-17 17:00:00 -0700
277,216,confirmed,2009,2009-06-04 10:54:36 -0700,2009-06-17 15:50:00 -0700
277,49,confirmed,2009,2009-06-04 10:55:13 -0700,2009-06-18 13:45:00 -0700
341,260,confirmed,2009,2009-06-04 10:56:54 -0700,2009-06-17 11:20:00 -0700
212,41,confirmed,2009,2009-06-04 10:58:50 -0700,2009-06-17 10:00:00 -0700
212,109,confirmed,2009,2009-06-04 10:58:57 -0700,2009-06-17 10:00:00 -0700
212,91,confirmed,2009,2009-06-04 10:58:57 -0700,2009-06-17 10:00:00 -0700
341,76,confirmed,2009,2009-06-04 10:59:18 -0700,2009-06-17 14:45:00 -0700
212,76,confirmed,2009,2009-06-04 10:59:26 -0700,2009-06-17 14:45:00 -0700
341,216,confirmed,2009,2009-06-04 10:59:28 -0700,2009-06-17 15:50:00 -0700
341,119,confirmed,2009,2009-06-04 11:00:44 -0700,2009-06-17 17:00:00 -0700
341,272,confirmed,2009,2009-06-04 11:00:54 -0700,2009-06-18 09:00:00 -0700
341,43,confirmed,2009,2009-06-04 11:02:12 -0700,2009-06-18 10:00:00 -0700
341,131,confirmed,2009,2009-06-04 11:02:51 -0700,2009-06-18 11:20:00 -0700
341,20,confirmed,2009,2009-06-04 11:03:09 -0700,2009-06-18 13:45:00 -0700
341,229,confirmed,2009,2009-06-04 11:04:44 -0700,2009-06-18 15:50:00 -0700
341,36,confirmed,2009,2009-06-04 11:05:10 -0700,2009-06-18 17:00:00 -0700
212,216,confirmed,2009,2009-06-04 11:05:20 -0700,2009-06-17 15:50:00 -0700
212,234,confirmed,2009,2009-06-04 11:05:45 -0700,2009-06-17 13:45:00 -0700
341,273,confirmed,2009,2009-06-04 11:05:47 -0700,2009-06-19 09:00:00 -0700
212,193,confirmed,2009,2009-06-04 11:06:26 -0700,2009-06-17 17:00:00 -0700
212,269,confirmed,2009,2009-06-04 11:07:01 -0700,2009-06-17 17:00:00 -0700
212,272,confirmed,2009,2009-06-04 11:07:06 -0700,2009-06-18 09:00:00 -0700
212,171,confirmed,2009,2009-06-04 11:07:28 -0700,2009-06-18 10:00:00 -0700
212,9,confirmed,2009,2009-06-04 11:08:02 -0700,2009-06-18 11:20:00 -0700
342,271,confirmed,2009,2009-06-04 11:11:31 -0700,2009-06-17 09:00:00 -0700
342,109,confirmed,2009,2009-06-04 11:11:41 -0700,2009-06-17 10:00:00 -0700
342,139,confirmed,2009,2009-06-04 11:12:36 -0700,2009-06-17 11:20:00 -0700
343,136,confirmed,2009,2009-06-04 11:12:47 -0700,2009-06-17 10:00:00 -0700
